node_id,project_id,vsn,address,lat,lon,description,start_timestamp,end_timestamp
001e0610893c,Waggle_Others,003,TCS 4302 - Returned from CDOT 04 Dec 2017,0.0,0.0,AoT Chicago (T) - Replace,2018/01/01 00:00:00,
001e0610ba67,Waggle_Others,007,"TCS 4302 P2,S7",0.0,0.0,AoT Node (S),2018/01/01 00:00:00,
001e0610f02f,Waggle_Others,00A,"CDOT,05/31/2018",0.0,0.0,AoT Chicago (S) [CA],2018/01/01 00:00:00,
001e061089c0,Waggle_Others,00B,TCS 4302 (Returned from CDOT 4/3/17),0.0,0.0,AoT Chicago (T),2018/01/01 00:00:00,
001e06108081,Waggle_Others,00C,Returned - TCS 4302,0.0,0.0,AoT Chicago (T),2018/01/01 00:00:00,
001e06200314,Waggle_Others,00E,Returned - TCS 4302,0.0,0.0,AoT NIU (T),2018/01/01 00:00:00,
001e0610b9fd,Waggle_Others,00F,"TCS 4302,01/18/2018",0.0,0.0,AoT Chicago (T) - Returned,2018/01/01 00:00:00,
001e061089fa,Waggle_Others,011,"TCS 4302,01/18/2018",0.0,0.0,AoT Chicago (T) - Returned,2018/01/01 00:00:00,
001e06107ff0,Waggle_Others,012,TCS 4302 (Returned from CDOT 4/3/17),0.0,0.0,AoT Chicago (T),2018/01/01 00:00:00,
001e0610bbed,Waggle_Others,013,Retired as display piece. With Douglas at SAIC.,0.0,0.0,Hot Glue Humidor (T),2018/01/01 00:00:00,
001e06107e5d,Waggle_Others,014,"State St & Washington St ,[SEC] ,(9/14/2016)",0.0,0.0,AoT Chicago (T) - Replace,2018/01/01 00:00:00,
001e0610ba93,Waggle_Others,015,TCS 4302 (Brought Inside Oct 2017),0.0,0.0,Test Control Node (T),2018/01/01 00:00:00,
001e0610ba60,Waggle_Others,016,"TCS 4302,01/18/2018",0.0,0.0,AoT Chicago (T) - Returned,2018/01/01 00:00:00,
001e0610b9eb,Waggle_Others,017,TCS Somewhere?,0.0,0.0,,2018/01/01 00:00:00,
001e0610ba3f,Waggle_Others,019,"Fedex, 21/DEC/2017",0.0,0.0,Panasonic at Civic Ctr Park (S),2018/01/01 00:00:00,
001e0610bbe9,Waggle_Others,01A,TCS 4302 - Returned from CDOT 04 Dec 2017,0.0,0.0,AoT Chicago (T) - Replace,2018/01/01 00:00:00,
001e0610bc03,Waggle_Others,01B,"TCS 4302 P2,S9",0.0,0.0,AoT Node (S),2018/01/01 00:00:00,
